,0
0,0.69354148209095
1,0.6929550766944885
2,0.6927636116743088
3,0.6924676299095154
4,0.693150594830513
5,0.6926937401294708
6,0.6938441097736359
7,0.6915467828512192
8,0.6928006708621979
9,0.691172331571579
10,0.6932744383811951
11,0.6906857937574387
12,0.6878881454467773
13,0.6874676793813705
14,0.6877484172582626
15,0.6927749663591385
16,0.6880690306425095
17,0.6932613998651505
18,0.6861521899700165
19,0.6905738115310669
20,0.6891200095415115
21,0.6804263144731522
22,0.6854751408100128
23,0.6918738484382629
24,0.6824834644794464
25,0.6857263892889023
26,0.6849246621131897
27,0.6909997165203094
28,0.6838603019714355
29,0.6875340193510056
30,0.6797809153795242
31,0.689127579331398
32,0.6919123530387878
33,0.6897423267364502
34,0.6850887387990952
35,0.6578035205602646
36,0.5983097851276398
37,0.5936296284198761
38,0.5374109297990799
39,0.5109870731830597
40,0.483325757086277
41,0.47557079792022705
42,0.47969648987054825
43,0.48164258897304535
44,0.5047096982598305
45,0.4523482248187065
46,0.46319013088941574
47,0.4458680525422096
48,0.47845203429460526
49,0.483027882874012
