,0
0,0.502580372250423
1,0.5138465877044557
2,0.5171601804850536
3,0.5245769881556683
4,0.5265228426395939
5,0.5280456852791878
6,0.5283417935702199
7,0.5274957698815567
8,0.5285391990975747
9,0.528595600676819
10,0.527848279751833
11,0.5281302876480541
12,0.5294134235758601
13,0.5295121263395375
14,0.5298505358150029
15,0.5299492385786801
16,0.53195149464185
17,0.5322758037225043
18,0.5320078962210942
19,0.5320501974055274
20,0.5327552171460801
21,0.5342216582064298
22,0.5334179357021996
23,0.5341652566271856
24,0.536082910321489
25,0.5375634517766498
26,0.5354765933446136
27,0.5405668358714044
28,0.5418076706147772
29,0.5403976311336718
30,0.5475747320924986
31,0.5506627185561196
32,0.547941342357586
33,0.55695149464185
34,0.5780174844895657
35,0.6044275239706712
36,0.6782712915961647
37,0.7246051889452905
38,0.7837845459672871
39,0.7878031584884376
40,0.823716864072194
41,0.8263395375070502
42,0.8243372814438804
43,0.8351522842639594
44,0.8411308516638466
45,0.8415397631133672
46,0.8454032712915962
47,0.8460941906373378
48,0.8503807106598985
49,0.8447123519458545
